Fuente,Tienda,Nombre,Nombre Limpio,Precio Original,Moneda,Precio UYU,Plataforma,Link,NombreKey,Demanda,Competitividad,ScoreVenta,Nivel,Costo UYU,Precio Venta UYU,Ganancia UYU,Margen sobre venta %
Shopify,GamerLab All,NEW WORLD: AETERNUM - CUENTA SECUNDARIA,NEW WORLD: AETERNUM - SECUNDARIA,35.0 USD,USD,1405.61,Otros,https://juegosdigitalesgamerlab.com/products/new-world-aeternum,NEW WORLD: AETERNUM - SECUNDARIA,92.9,1.0,95.7,TOP,1406.0,1758.0,352.0,20.0
Shopify,GamerLab All,Palworld - CUENTA SECUNDARIA,PALWORLD - SECUNDARIA,10.0 USD,USD,401.6,Otros,https://juegosdigitalesgamerlab.com/products/palworld,PALWORLD - SECUNDARIA,96.4,1.0,97.8,TOP,402.0,502.0,100.0,19.9
Shopify,GamerLab All,Rust Console Edition - ULTIMATE EDITION/CUENTA PRINCIPAL,RUST CONSOLE EDITION - EDITION/ PRINCIPAL,30.0 USD,USD,1204.81,Otros,https://juegosdigitalesgamerlab.com/products/rust-console-edition,RUST CONSOLE EDITION - EDITION/ PRINCIPAL,70.3,1.0,82.2,MUY ALTO,1205.0,1506.0,301.0,20.0
Woocommerce,UYJuegos PS4,AMONG US PS4,AMONG US,86 UYU,UYU,86.0,PS4,https://uruguayjuegosdigitales.com/tienda/juegos-digitales-ps4/among-us-ps4/,AMONG US,50.2,1.0,70.1,MUY ALTO,86.0,108.0,22.0,20.4
Woocommerce,MDQ PS4,ARK: Survival Evolved,ARK: SURVIVAL EVOLVED,"$ 16,990.00",ARS,437.39,PS4,https://mdqstore.com/producto/ark-survival-evolved/,ARK: SURVIVAL EVOLVED,68.0,1.0,80.8,MUY ALTO,437.0,546.0,109.0,20.0
Shopify,GamerLab PS4,ARK: Survival Evolved - CUENTA PRINCIPAL PS4,ARK: SURVIVAL EVOLVED - PRINCIPAL,15.0 USD,USD,602.4,PS4,https://juegosdigitalesgamerlab.com/products/ark-survival-evolved,ARK: SURVIVAL EVOLVED - PRINCIPAL,68.0,1.0,80.8,MUY ALTO,602.0,752.0,150.0,19.9
Shopify,GamerLab PS4,ARK: Survival Evolved - ULTIMATE SURVIVOR EDITION PS4,ARK: SURVIVAL EVOLVED - SURVIVOR EDITION,20.0 USD,USD,803.21,PS4,https://juegosdigitalesgamerlab.com/products/ark-survival-evolved,ARK: SURVIVAL EVOLVED - SURVIVOR EDITION,68.0,1.0,80.8,MUY ALTO,803.0,1004.0,201.0,20.0
Playwright,TodoDigital PS4,Cyberpunk 2077,CYBERPUNK 2077,"10,00 €",EUR,457.05,PS4,https://tododigitalshop.com/cyberpunk-2077/,CYBERPUNK 2077,56.1,1.0,73.7,MUY ALTO,457.0,571.0,114.0,20.0
Woocommerce,UYJuegos PS4,CYBERPUNK 2077 PHANTOM LIBERTY BUNDLE PS4,CYBERPUNK 2077 PHANTOM LIBERTY BUNDLE,3.053 UYU,UYU,3053.0,PS4,https://uruguayjuegosdigitales.com/tienda/juegos-digitales-ps4/cyberpunk-2077-phantom-liberty-bundle-ps4/,CYBERPUNK 2077 PHANTOM LIBERTY BUNDLE,56.1,1.0,73.7,MUY ALTO,3053.0,3816.0,763.0,20.0
Woocommerce,UYJuegos PS4,DEAD BY DAYLIGHT PS4,DEAD BY DAYLIGHT,1.075 UYU,UYU,1075.0,PS4,https://uruguayjuegosdigitales.com/tienda/juegos-digitales-ps4/dead-by-daylight-ps4/,DEAD BY DAYLIGHT,54.9,1.0,72.9,MUY ALTO,1075.0,1344.0,269.0,20.0
Shopify,GamerLab PS4,Dead by Daylight - CUENTA PRINCIPAL PS4,DEAD BY DAYLIGHT - PRINCIPAL,10.0 USD,USD,401.6,PS4,https://juegosdigitalesgamerlab.com/products/dead-by-daylight,DEAD BY DAYLIGHT - PRINCIPAL,54.9,1.0,72.9,MUY ALTO,402.0,502.0,100.0,19.9
Woocommerce,UYJuegos PS4,Destiny 2 Legacy Collection PS4,DESTINY 2 LEGACY COLLECTION,2.107 UYU,UYU,2107.0,PS4,https://uruguayjuegosdigitales.com/tienda/juegos-digitales-ps4/destiny-2-legacy-collection-ps4/,DESTINY 2 LEGACY COLLECTION,72.7,1.0,83.6,MUY ALTO,2107.0,2634.0,527.0,20.0
Woocommerce,UYJuegos PS4,DESTINY 2 MAS ALLA DE LA LUZ (BEYOND light) PS4,DESTINY 2 MAS ALLA DE LA LUZ (BEYOND LIGHT),1.118 UYU,UYU,1118.0,PS4,https://uruguayjuegosdigitales.com/tienda/juegos-digitales-ps4/destiny-2-mas-alla-de-la-luz-beyond-light-ps4/,DESTINY 2 MAS ALLA DE LA LUZ (BEYOND LIGHT),72.7,1.0,83.6,MUY ALTO,1118.0,1398.0,280.0,20.0
Playwright,TodoDigital PS4,ELDEN RING,ELDEN RING,"Desde 8,00 € IVA Incluido",EUR,365.64,PS4,https://tododigitalshop.com/elden-ring/,ELDEN RING,81.0,1.0,88.6,TOP,366.0,458.0,92.0,20.1
